,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,dry eyes,dry mouth,thc_scaled,strain_type,rating (scaled),Rating,NumReviews,Strain_description,THC,sweet_S,strawberry_S,earthy_S,blue cheese_S,sage_S,honey_S,rose_S,tree fruit_S,violet_S,coffee_S,pear_S,spicy/herbal_S,tropical_S,pungent_S,tea_S,apricot_S,mint_S,pepper_S,flowery_S,ammonia_S,blueberry_S,berry_S,chemical_S,pine_S,woody_S,lime_S,plum_S,nutty_S,citrus_S,orange_S,mango_S,diesel_S,lemon_S,pineapple_S,apple_S,grape_S,menthol_S,chestnut_S,skunk_S,grapefruit_S,peach_S,butter_S,lavender_S,tar_S,tobacco_S,vanilla_S,focused_S,inflammation_S,dizzy_S,energetic_S,lack of appetite_S,happy_S,creative_S,muscle spasms_S,sleepy_S,stress_S,tingly_S,aroused_S,anxious_S,nausea_S,fatigue_S,cramps_S,uplifted_S,headache_S,talkative_S,paranoid_S,hungry_S,giggle_S,depression_S,relaxed_S,pain_S,seizures_S,euphoric_S,spasticity_S,eye pressure_S,headaches_S,insomnia_S,dry eyes_S,dry mouth_S
347,Brainwreck,0,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.588235294,,,,0.777777778,0.705882353,0.647058824,,,1,,,,,0.555555556,,1,,,,,,0.444444444,,0.222222222,,0.588235294,,,,,,1,,hybrid,0.9,4.6,15,"Brainwreck is the 50/50 hybrid cross of parent strains Trainwreck, Brain Child, and Brain. Trainwreck and Brain Child (Willy's Wonder x Jack Herer) give this strain rich, lung-expanding notes of pine that blend well with the sweet, earthy aromas of its indica parentage. Brainwreck is exhilarating and cerebral from the onset, making it a worthwhile strain for consumers seeking to overcome fatigue. Its effects will remain mentally elevated even while the physical effects mellow and level out.",,0.000906618,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,0.000533305,,,,0.000705148,0.000639966,0.000586635,,,0.000906618,,,,,0.000503677,,0.000906618,,,,,,0.000402941,,0.000201471,,0.000533305,,,,,,0.000906618
348,Brand X,0,0,0.9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,0.274495138,,,,0.275468623,,,0.284637327,0.857142857,,,,,,,,,0.95802771,0.040871935,,0.898533007,0.635751683,,1,,1,,,,0.977561705,1,0.163487738,0.869281046,indica,0.995833333,4.983333333,61,"Brand X, also known as The Ostipow Indica, is a decades-old heirloom strain that hails from Michigan. Earthy pine aromas mingle with notes of hashy mint in a flavorful introduction to this indica's heavy full-body relaxation. The sedating effects come coupled with a hazy euphoric head buzz that leaves you floating in a blissful headspace for hours. Its buds grow into tightly compacted cones that exude thick layers of frosty resin in a show of Brand X's high THC content.",27,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,0.001666667,,,,0.000457492,,,,0.000459114,,,0.000474396,0.001428571,,,,,,,,,0.001596713,6.81E-05,,0.001497555,0.001059586,,0.001666667,,0.001666667,,,,0.00162927,0.001666667,0.00027248
349,Brandywine,1,0,0.92,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347826087,0.166666667,,,,,,0.8625,1,0.5125,,0.4,,,,,,,,0.525,,0.652173913,1,0.739130435,,0.75,,,,0.434782609,1,0.833333333,,indica,0.928571429,4.714285714,21,"Brandywine by Dungeons Vault Genetics is a pleasant indica strain with a calming buzz. Created by crossing Pink Champagne and Grandpa's Breath, Brandywine emits a delicate tea aroma with notes of hops and Chardonnay grapes. The effects are reminiscent of Granddaddy Purple, with relaxing physical attributes that dismiss stress without being overly sedative. Anticipate squinted eyes and a touch of appetite stimulation as well. Enjoy this strain in smaller, controlled doses to maximize its medical benefits. Brandywine won 1st Place Indica at the 2017 Dope Awards in Seattle, WA.",,,,0.001666667,,,,,,,,,0.001666667,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00057971,0.000277778,,,,,,0.0014375,0.001666667,0.000854167,,0.000666667,,,,,,,,0.000875,,0.001086957,0.001666667,0.001231884,,0.00125,,,,0.000724638,0.001666667,0.001388889
350,Brazil Amazonia,0,0,0.28,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,0.411764706,,0.583333333,,,,,,1,,,,,,,1,,,,,,1,0.708333333,,,0.416666667,,0.411764706,,0.411764706,,1,,sativa,0.892857143,4.571428571,7,"Brazil Amazonia is a potent Brazilian landrace collected by World of Seeds. They chose a unique phenotype that flowers early and remains squat, making it a desirable cut for incognito outdoor growers. This 90% sativa-dominant strain has stimulating effects that burst forth, exhausting the limbs and mind to a point of relaxation and appetite stimulation. Brazil Amazonia emits a musky, woody aroma that has hints of bittersweet fruit.",,,,,,,,,,,,,0.00234192,,,,,,,,,,,,,0.00234192,,,,0.00234192,,,,,,,,,,,,,,,,,,0.00234192,0.00096432,,0.00136612,,,,,,0.00234192,,,,,,,0.00234192,,,,,,0.00234192,0.00165886,,,0.0009758,,0.00096432,,0.00096432,,0.00234192
351,Brian Berry Cough,2,0,0.5,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,0.125,,0.006329114,,,1,,,,0.741935484,,,0.955696203,0.516129032,0.419354839,,0.213541667,,,0.044303797,,,1,0.177083333,0.35483871,,0.989583333,,,,,0.063291139,1,0.656862745,hybrid,0.875,4.5,34,"Brian Berry Cough from MzJill Genetics is a balanced 50/50 hybrid strain that crosses Strawberry Cough and Space Queen. Bred for flavor as well as potency, this strain inherits a loud strawberry and cherry aroma with traces of candied fruit. Its powerful, high-velocity effects center themselves cerebrally at first and then quickly spread to relax the rest of the body. Knots of lavender and green calyxes burst from the tall plants, crowned with deep purple-tipped fan leaves.",20.5,,0.000906618,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,0.000113327,,5.74E-06,,,0.000906618,,,,0.000672652,,,0.000866452,0.000467932,0.000380195,,0.000193601,,,4.02E-05,,,0.000906618,0.000160547,0.000321703,,0.000897174,,,,,5.74E-05,0.000906618
352,Brooklyn Mango,0,0,0.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,0.333333333,,0.666666667,0.833333333,,,,0.666666667,,1,0.333333333,,0.333333333,,,,0.666666667,,,0.666666667,1,,0.666666667,,0.666666667,,,,,0.333333333,1,0.673202614,hybrid,0.95,4.8,7,"Brooklyn Mango, bred by Dr. Underground, is a hybrid that combines Ed Rosenthal Super Bud with NYC Diesel. The resulting buds carry a mix of diesel and tropical fruit flavors, like pineapple, mango, and lemon. The effects of Brooklyn Mango are a mix of cerebral energy with calm and comforting body relaxation.",21,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,0.000906618,,0.000906618,,,,,,,,,,,,,,,,,,0.000302206,,0.000604412,0.000755515,,,,0.000604412,,0.000906618,0.000302206,,0.000302206,,,,0.000604412,,,0.000604412,0.000906618,,0.000604412,,0.000604412,,,,,0.000302206,0.000906618
353,Bruce Banner,3,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.255386811,,,0.953986275,0.56655315,,,1,,,0.180945138,,0.501425828,,0.883354514,0.231604312,,,,,0.874531384,1,0.827198525,,0.902159711,,,0.522400581,,0.554469611,1,0.640522876,hybrid,0.887666325,4.550665302,987,"Bruce Banner might be best known as the alter-ego of comic book hero The Incredible Hulk, but maybe he wouldn't be such a stressed out ball of anger if he just had some of his namesake strain. This green monster also has hidden strength and features dense nugs that pack the power of very high THC content. It's a powerful strain whose effects come on quickly and strong and then tend to settle into a euphoric and creative buzz. The sativa effects of this strain are most evident and linger mostly in the head, but it may also provide body relaxation that make it an appropriate daytime bud for some. Dark Horse Genetics bred this strain from OG Kush and Strawberry Diesel, and its heritage can be found in its diesel aroma with sweet undertones. Plants flower at 8 to 10 weeks. This strain does have three main phenotypes, one of which is Bruce Banner #3.",20,0.000906618,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,0.000231538,,,0.000864901,0.000513647,,,0.000906618,,,0.000164048,,0.000454602,,0.000800865,0.000209977,,,,,0.000792866,0.000906618,0.000749953,,0.000817915,,,0.000473618,,0.000502692,0.000906618
354,Bruce Banner #3,2,0,0.44,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.090746264,,0.320761378,1,0.680092209,,,1,,,0.737948074,,,,0.894864457,,,0.158935896,,,0.917742055,0.701601712,0.432615624,,0.888553681,,,,0.24109014,0.223383415,1,,hybrid,0.890243902,4.56097561,292,"Bruce Banner (probably better-known as the alter ego of comic book superhero The Incredible Hulk) is one of three phenotypes of the Bruce Banner strain and has proven to be a popular one. Effects come on quickly to provide an immediate burst of euphoria before easing into relaxation that may be good for creative pursuits. Dark Horse Genetics bred this strain from OG Kush and Strawberry Diesel, and its heritage can be found in its diesel aroma with sweet undertones. Its plants flower at 8 to 10 weeks.",,0.000906618,0.000906618,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,8.23E-05,,0.000290808,0.000906618,0.000616584,,,0.000906618,,,0.000669037,,,,0.000811301,,,0.000144094,,,0.000832042,0.000636085,0.000392217,,0.000805579,,,,0.000218577,0.000202523,0.000906618
355,Bubba Berry,3,0,0.95,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.393939394,,,0.818181818,1,,,,,0.592592593,,0.484848485,,,,,,0.407407407,1,0.481481481,,0.181818182,,,0.518518519,,1,0.125,,indica,1,5,8,"Bubba Berry is a sedating cross of Pre-98 Bubba Kush and DJ Short's Blueberry. This strain lays into the body, weighing on the limbs and mind with a deep, stoney buzz. The relaxing and calming qualities of this strain lend to meditation and recuperation. Bubba Berry's aroma is sweet and berry-forward. Its flavor is also fruity and musky with a hint of spice on the finish. Reserve this strain for the end of the day as its heavy physical effects saddle the consumer with nearly insurmountable couchlock and a state of contentment.",,,,0.001666667,,,,,,,,,0.001666667,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000656566,,,0.001363636,0.001666667,,,,,0.000987654,,0.000808081,,,,,,0.000679012,0.001666667,0.000802469,,0.00030303,,,0.000864198,,0.001666667,0.000208333
356,Bubba Kush,1,0,0.8,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.28019036,,,0.566772892,,,0.745414454,1,,,0.128379554,,,,,,,0.317894221,0.441962099,,0.65457002,1,0.803900209,,0.48251092,,,0.37302788,0.696985569,0.451916326,1,0.460784314,indica,0.83,4.32,3081,"Bubba Kush is an indica strain that has gained notoriety in the U.S. and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while coercing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple.Bubba's stocky plant stature and bulky bud structure suggest Afghani descent, but its genetic origins aren't certain. The breeder whom this strain was named after states that Bubba Kush emerged just after 1996, when an OG Kush hybrid pollinated an unknown indica strain obtained in New Orleans. The mother plant was supposedly Northern Lights, but the genetically ambiguous indica was simply called  Bubba.  Bubba Kush has flourished from its California roots ever since.",14.5,0.001666667,,0.001666667,,,,,,,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,0.000466984,,,0.000944621,,,0.001242357,0.001666667,,,0.000213966,,,,,,,0.000529824,0.000736603,,0.00109095,0.001666667,0.001339834,,0.000804185,,,0.000621713,0.001161643,0.000753194,0.001666667
357,Bubba OG,1,0,0.8,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368319447,,0.628402284,0.784136476,,,0.794682799,1,,,,,,,0.526613047,0.006096322,,0.356126803,,,0.721301713,1,0.424930816,,0.375387278,,,,0.544523067,0.869277441,1,0.656862745,indica,0.836298932,4.34519573,286,"Canadian breeders at Dr. Greenthumb Seeds crossed the popular medicinal strain Pre -98 Bubba Kush with Ghost OG to create a hybrid with the flavor of Bubba, the potency of OG, and yields better than either of the two. With a sweet, pungent smell and flavors of fruity hash and diesel, Bubba OG is a potent strain suitable for treating pain, muscle spasms, nausea, and insomnia.",20.5,0.001666667,,0.001666667,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000613866,,0.001047337,0.001306894,,,0.001324471,0.001666667,,,,,,,0.000877688,1.02E-05,,0.000593545,,,0.00120217,0.001666667,0.000708218,,0.000625645,,,,0.000907538,0.001448796,0.001666667
358,Bubba Tom Hayes,3,0,0.38,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.608695652,,,,0.903225806,1,,,,0.967741935,,0.630434783,,,0.032258065,,0.956521739,,,,,,1,,,,1,,,,,1,,,hybrid,0.96875,4.875,7,"Bubba Tom Hayes is a hybrid that crosses Pre-98 Bubba Kush with a select Haze variety that was bred by Tom Hill. The hybrid tends to be Haze-dominant with a sweet, herb flavor that mixes with musky Kush undertones. The effects tend to be led by the sativa genetics as well, inciting uplifting cerebral activity that eventually fades to a relaxing body effect. The Bubba Kush influence helps speed up the flowering cycle, allowing Bubba Tom Hayes to finish in around 10 weeks when cultivated indoors.",,0.000906618,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,0.000551855,,,,0.000818881,0.000906618,,,,0.000877373,,0.000571564,,,2.92E-05,,0.0008672,,,,,,0.000906618,,,,0.000906618,,,,,0.000906618,
359,Bubba x Skunk,3,0,0.65,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.965517241,1,0.724137931,,0.275862069,,,,,,,,0.689655172,,,,0.05,1,,,,,1,0.05,0.05,,1,,indica,1,5,6,"Old School Breeders Association crossed the original Bubba Kush clone with a reliable, true-breeding Skunk in an effort to speed up veg times, add height, and increase yields. The resulting hybrid is a faster, larger version of Bubba Kush, with pungent, sweet-smelling buds and a nice hybrid high with uplifting cerebral effects and a relaxing body high.",,,,0.001666667,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,0.001609195,0.001666667,0.001206897,,0.00045977,,,,,,,,0.001149425,,,,8.33E-05,0.001666667,,,,,0.001666667,8.33E-05,8.33E-05,,0.001666667
360,Bubba's Gift,1,0,0.8,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.057692308,0.126126126,,0.240786241,,,0.812448812,1,,,0.086538462,,0.079443893,,,,,0.028846154,,,0.979145978,1,,,0.11957412,,,0.023833168,0.023833168,0.826923077,1,0.566993464,indica,0.900793651,4.603174603,63,"Developed by Humboldt Seed Organization, Bubba's Gift is a strain unlike any other. Despite being almost purely indica, this cross between Bubba Kush and God's Gift produces functional and uplifting effects with a mild body high. Given its strong indica genetics, this sweet, fruity strain is surprisingly well-suited for daytime creative activities. Bubba's Gift will flower in 6 weeks and can be grown indoors and outdoors.",17.75,,,0.001666667,,,,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,9.62E-05,0.00021021,,0.00040131,,,0.001354081,0.001666667,,,0.000144231,,0.000132406,,,,,4.81E-05,,,0.00163191,0.001666667,,,0.00019929,,,3.97E-05,3.97E-05,0.001378205,0.001666667
361,Bubble Cheese,1,0,0.770987313,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487804878,0.952380952,,,0.531914894,,,0.957446809,0.512195122,,,,,,,0.510638298,0.047619048,,,0.957446809,,0.512195122,1,1,,,,,,0.975609756,1,0.285714286,0.591503268,indica,0.723684211,3.894736842,13,"Bubble Cheese, bred by Big Buddha Seeds, is an 85% indica strain that brings in genetics from Cheese, Bubble Gum, and Hubba Bubba Kush. With an earthy, hashy aroma, Bubble Cheese delivers sedating effects that relax the mind and body without heavy mental cloudiness.",18.5,,,0.001666667,0.001666667,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000813008,0.001587302,,,0.000886525,,,0.001595745,0.000853659,,,,,,,0.000851064,7.94E-05,,,0.001595745,,0.000853659,0.001666667,0.001666667,,,,,,0.001626016,0.001666667,0.00047619
362,Bubble Gum,3,0,0.4,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302399677,,,0.793647005,0.442536497,,,1,,,0.202874385,,,,0.616439878,0.296997349,,,,,0.849235683,1,0.69892196,,0.802585772,,,0.388353117,0.405740524,0.705059154,1,0.591503268,hybrid,0.784537726,4.138150903,959,"Originally Bubble Gum was developed by growers in Indiana. From there the genetics moved to New England and eventually Holland. It took many generations to finally produce a stable Bubble Gum with the characteristic sweet smell and euphoric high. Bubble Gum was the winner of two awards in the Cannabis Cup of '94, and the 2nd place winner in '95 and again in '99.",18.5,0.000906618,,0.000906618,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000274161,,,0.000719535,0.000401212,,,0.000906618,,,0.00018393,,,,0.000558876,0.000269263,,,,,0.000769933,0.000906618,0.000633655,,0.000727639,,,0.000352088,0.000367852,0.00063922,0.000906618
363,Bubbleberry,2,0,0.5,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652314316,,1,,,,1,,,1,,0.531496063,,,0.579861111,,0.295138889,0.488697524,,0.570866142,0.801937567,0.679133858,,0.490850377,,,,0.405511811,0.715277778,0.416666667,0.575163399,hybrid,0.833333333,4.333333333,164,"Bubbleberry is a treat for cannabis consumers on either side of the indica-sativa divide. Combining the sweet, floral taste and aroma of Bubble Gum with the all-star fruity skunkiness of Blueberry, this strain has depth while remaining immensely palatable. Enjoy this strain anytime, day or night, but understand that this strain's pungent aroma will turn heads from 50 yards away.",18,0.000906618,,,,,,,,,,,,,,,,,,,,0.000906618,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005914,,0.000906618,,,,0.000906618,,,0.000906618,,0.000481864,,,0.000525713,,0.000267578,0.000443062,,0.000517558,0.000727051,0.000615715,,0.000445014,,,,0.000367644,0.000648484,0.000377758
364,Bubblegum Kush,1,0,0.8,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184422431,,0.779329473,0.703636785,,,0.737800721,1,,,0.148897172,,,,,0.099264782,,,0.52133426,,0.960829157,1,0.796238626,,0.754578245,,,,0.790521143,0.874683362,1,0.66503268,indica,0.83828125,4.353125,325,"An 80% indica strain from Bulldog Seeds in the Netherlands, Bubblegum Kush is a cross between Bubble Gum and an undisclosed Kush. An easy-to-grow plant that produces huge yields of frosty, resinous buds, it is popular with growers and hash-makers alike. Bubblegum Kush has a sour smell and flavor, and with a THC content in the 18% range, this indica will leave users fully relaxed and glued to the couch.",20.75,0.001666667,,0.001666667,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000307371,,0.001298882,0.001172728,,,0.001229668,0.001666667,,,0.000248162,,,,,0.000165441,,,0.00086889,,0.001601382,0.001666667,0.001327064,,0.00125763,,,,0.001317535,0.001457806,0.001666667
365,Bubblegun,2,0,0.61,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611111111,,0.25,,,1,,,,1,,,,0.5,,,0.666666667,0.333333333,,0.25,,,0.5,0.611111111,0.75,,0.722222222,,,,0.5625,0.583333333,1,,hybrid,0.686046512,3.744186047,25,"Bubblegun is a hybrid strain whose name plays homage to its genetics it's a slightly indica-dominant cross of Bubble Gum and AK-47. Good for treating insomnia and pain, this balanced hybrid starts off with uplifting effects that bring strong pain relief and sedation properties. As plants, Bubblegun shows off its indica side by staying short and flowering in 8 to 9 weeks. Flowers will be compact and give off a sugary bubble gum aroma. This strain is also popular for those looking to boost their appetite.",,0.000906618,,,,,,,,,,,,,,,,0.000906618,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000554045,,0.000226655,,,0.000906618,,,,0.000906618,,,,0.000453309,,,0.000604412,0.000302206,,0.000226655,,,0.000453309,0.000554045,0.000679964,,0.00065478,,,,0.000509973,0.000528861,0.000906618
366,Bubblicious,1,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.770602808,,0.823070252,0.688852188,,,,0.246823956,,0.765828274,,0.654170107,0.266787659,0.677952106,0.266787659,,,0.379878578,1,1,,,,,0.344102342,,0.593466425,1,0.526143791,hybrid,0.838709677,4.35483871,62,"Bubblicious (not to be confused with Wonka's Bubblicious) is Nirvana Seeds' rendition of the classic Indiana Bubble Gum. Refined in the Netherlands since the 1990s, Bubblicious captures the signature bubble gum flavor that first lent this hybrid widespread notoriety. Sometimes, Bubblicious will even take on a pink hue that further justifies the naming of this sweet-smelling hybrid. Potent and relaxing, Bubblicious offers full-body effects that soothe tension and stress even in seasoned THC veterans.",16.5,0.000906618,,0.000906618,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000698643,,0.000746211,0.000624526,,,,0.000223775,,0.000694314,,0.000593083,0.000241875,0.000614644,0.000241875,,,0.000344405,0.000906618,0.000906618,,,,,0.000311969,,0.000538048,0.000906618
367,Buckeye Purple,2,0,0.92,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,0.861870504,,,,,0.753956835,,,,0.971830986,,,,,,,0.694964029,0.985915493,1,0.16498994,,0.81294964,,,,0.233400402,,,,indica,0.894736842,4.578947368,19,"Buckeye Purple by Melvanetics is an indica-dominant cross of heavy genetics. Created by breeding Gorilla Grape and Granddaddy Purple, this beautiful cross produces pink and purple colas that reek of sweet floral terpenes. Buckeye Purple is known for its deep relaxation and leaden couchlock, as well as its reasonable flowering time of approximately 7 to 8 weeks.",,,,,,,,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,0.001666667,,,,0.001666667,,,,,,,,,,,,0.001666667,0.001666667,,,0.001436451,,,,,0.001256595,,,,0.001619718,,,,,,,0.001158273,0.001643192,0.001666667,0.000274983,,0.001354916,,,,0.000389001,,
368,Buddha Haze,3,0,0.5,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.918032787,,0.166666667,0.950819672,,0.68852459,0.844262295,,,0.666666667,,,,,0.944444444,,1,0.166666667,,0.166666667,,,0.666666667,,1,0.555555556,,,,,,0.666666667,1,0.624183007,hybrid,0.901515152,4.606060606,33,"Buddha Haze is an 85% sativa strain bred by Big Buddha Seeds. Parented by Amnesia Haze and Manga Rosa, Buddha Haze offers a complex aroma that blends together sweet mango and spice. Its upbeat, energetic buzz is perfect for those days that require unencumbered focus and attention.",19.5,0.000906618,,0.000906618,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000832305,,0.000151103,0.000862031,,0.000624229,0.000765424,,,0.000604412,,,,,0.000856251,,0.000906618,0.000151103,,0.000151103,,,0.000604412,,0.000906618,0.000503677,,,,,,0.000604412,0.000906618
369,Buddha Tahoe,0,0,0.95,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,0.614071179,0.137195122,,,0.770759532,0.31981387,,,0.750257149,,,0.137195122,,0.753034355,,0.617562294,0.317073171,0.369408586,,,,0.728656655,1,,,,,,,1,0.160060976,1,0.575163399,indica,0.868131868,4.472527473,91,"Buddha Tahoe is what you get when Big Buddha Seeds reverses Cali Connection's Tahoe OG Kush to create their own rendition of this indica staple. Like its OG ancestors, Buddha Tahoe maintains a zesty lemon and earthy hash aroma typical of kush varieties. Potent and long-lasting, Buddha Tahoe launches you into to the highest level of cerebral euphoria which won this strain 3rd place in the 2011 High Times Cannabis Cup.",18,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,0.001666667,,,,0.001666667,,,,,,,,,,,,,,,0.001023452,0.000228659,,,0.001284599,0.000533023,,,0.001250429,,,0.000228659,,0.001255057,,0.00102927,0.000528455,0.000615681,,,,0.001214428,0.001666667,,,,,,,0.001666667,0.000266768,0.001666667
370,Buddha's Hand,0,0,0.27,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,0.333333333,0.981818182,0.981818182,,,0.5,0.868181818,,0.011764706,,0.833333333,0.333333333,,,,,,,1,,,,0.895454545,,,,,0.988235294,1,,sativa,0.926470588,4.705882353,17,"Buddha's Hand is a sativa-dominant strain that was bred by combining genetics from Lemon Thai and Snow Lotus. Pungent aromas of citrus and wildflowers burst from the dense, trichome-caked buds. Easing stress without the cost of energy, Buddha's Hand is your perfect daytime companion when you're in need of a mood boost or focus.",,,,,,,,,,,,,,,0.00234192,,,,,,,,,,,,,,,0.00234192,,,,0.00234192,,,,,,,,,,,,,,0.00234192,,,,0.00078064,0.00229934,0.00229934,,,0.00117096,0.002033213,,2.76E-05,,0.0019516,0.00078064,,,,,,,0.00234192,,,,0.002097083,,,,,0.002314368,0.00234192
371,Buddha's Sister,0,0,0.8,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.411245865,,,0.88835691,,,0.463910047,1,,,0.481073135,,,,0.520638375,,,0.644248438,,,0.608534323,1,0.807192807,,0.47921654,,,0.334379906,0.563151135,0.977214259,1,,indica,0.838345865,4.353383459,134,"Buddha's Sister by Soma Seeds has a flavor like a tart cherry candy and a scent to match. A cross of Reclining Buddha, Afghani, and Hawaiian varieties, Buddha's Sister provides creative and cerebral effects. An 80/20 indica blend, it does well grown in hydro or soil.",,0.001666667,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,0.00068541,,,0.001480595,,,0.000773183,0.001666667,,,0.000801789,,,,0.000867731,,,0.001073747,,,0.001014224,0.001666667,0.001345321,,0.000798694,,,0.0005573,0.000938585,0.00162869,0.001666667
